iter	Accuracy	Logloss
0	0.8380952381	0.6705095979
1	0.8394557823	0.6453396142
2	0.8734693878	0.6163407219
3	0.8721088435	0.588626028
4	0.8721088435	0.5631723479
5	0.8571428571	0.5409312906
6	0.8571428571	0.5192873186
7	0.862585034	0.5046385089
8	0.8707482993	0.4888484121
9	0.8721088435	0.4739979196
10	0.8789115646	0.462866595
11	0.8816326531	0.4506792008
12	0.8789115646	0.4403906372
13	0.8775510204	0.4304924007
14	0.8816326531	0.4167791642
15	0.8843537415	0.4082190563
16	0.8897959184	0.3980409426
17	0.8925170068	0.3893612453
18	0.893877551	0.3827460168
19	0.8952380952	0.3743235861
20	0.8979591837	0.3671132905
21	0.8993197279	0.3607050212
22	0.9034013605	0.3531840016
23	0.9020408163	0.345779981
24	0.9088435374	0.3395595553
25	0.9047619048	0.3337839082
26	0.9047619048	0.3280831684
27	0.906122449	0.3238435041
28	0.9088435374	0.3196310612
29	0.9088435374	0.3154046477
30	0.9102040816	0.3110292964
31	0.9115646259	0.3068322995
32	0.9115646259	0.3033774457
33	0.9129251701	0.2992626642
34	0.9142857143	0.2961944498
35	0.9142857143	0.2924527308
36	0.9183673469	0.2895651921
37	0.9183673469	0.2868828034
38	0.9183673469	0.2838394111
39	0.9183673469	0.2811578842
40	0.9183673469	0.2781834414
41	0.9210884354	0.2756781882
42	0.9210884354	0.2735460387
43	0.9197278912	0.2712430185
44	0.9210884354	0.2680425108
45	0.9210884354	0.2651808082
46	0.9210884354	0.263280804
47	0.9238095238	0.260231669
48	0.9238095238	0.2578548248
49	0.9238095238	0.2564411585
50	0.9238095238	0.254660826
51	0.925170068	0.2524496221
52	0.9265306122	0.2502644287
53	0.9265306122	0.2484216576
54	0.9278911565	0.2465022047
55	0.9278911565	0.2446154849
56	0.9306122449	0.2425736729
57	0.9319727891	0.2410057709
58	0.9319727891	0.2394616428
59	0.9319727891	0.2375222224
60	0.9333333333	0.2355866333
61	0.9333333333	0.2339083587
62	0.9333333333	0.2321624654
63	0.9346938776	0.2305224111
64	0.9346938776	0.229214485
65	0.9346938776	0.2280809896
66	0.9346938776	0.2267274924
67	0.9346938776	0.2247465029
68	0.9346938776	0.2233110895
69	0.9360544218	0.221895353
70	0.9360544218	0.22018165
71	0.9360544218	0.2186509048
72	0.9360544218	0.2172970354
73	0.9360544218	0.2158469
74	0.9360544218	0.2148456577
75	0.9360544218	0.2134703412
76	0.9360544218	0.2123365825
77	0.9360544218	0.2114484165
78	0.9360544218	0.2099048885
79	0.9360544218	0.2087370492
80	0.9360544218	0.2071486542
81	0.9360544218	0.2063953154
82	0.9360544218	0.2058437287
83	0.937414966	0.2047556028
84	0.937414966	0.203450347
85	0.9387755102	0.2017948353
86	0.937414966	0.2013042646
87	0.9387755102	0.199909986
88	0.9387755102	0.198904112
89	0.9387755102	0.1988298283
90	0.937414966	0.1981478891
91	0.937414966	0.1979370493
92	0.937414966	0.1976627796
93	0.937414966	0.1969565179
94	0.937414966	0.1964299508
95	0.9360544218	0.1954840591
96	0.937414966	0.1945873303
97	0.937414966	0.1944668423
98	0.9387755102	0.1936514536
99	0.9387755102	0.1926725914
100	0.9387755102	0.1924847028
101	0.9387755102	0.1917342475
102	0.9387755102	0.19138309
103	0.9387755102	0.1911583003
104	0.9387755102	0.1907322314
105	0.9387755102	0.1894845862
106	0.9414965986	0.1889318969
107	0.9414965986	0.1876752891
108	0.9414965986	0.1865198414
109	0.9442176871	0.1856216291
