iter	Passed	Remaining
0	8	952
1	17	940
2	29	1052
3	39	1034
4	44	943
5	46	799
6	47	692
7	52	664
8	60	683
9	71	716
10	77	701
11	87	715
12	97	727
13	101	698
14	106	676
15	110	650
16	118	649
17	125	639
18	132	634
19	138	622
20	145	618
21	151	607
22	159	605
23	165	594
24	172	585
25	178	575
26	184	566
27	188	553
28	194	544
29	200	535
30	208	531
31	217	531
32	223	522
33	226	505
34	227	487
35	233	480
36	241	476
37	246	467
38	253	461
39	258	452
40	261	440
41	266	432
42	272	424
43	278	418
44	284	411
45	294	409
46	301	404
47	311	402
48	321	399
49	322	386
50	327	379
51	335	374
52	341	366
53	347	360
54	355	355
55	360	347
56	372	346
57	380	341
58	392	339
59	397	330
60	401	322
61	406	314
62	414	309
63	422	303
64	429	297
65	433	289
66	438	281
67	447	276
68	455	270
69	459	262
70	462	254
71	466	246
72	469	238
73	475	231
74	480	224
75	485	217
76	493	211
77	499	205
78	506	198
79	514	192
80	519	186
81	529	180
82	533	173
83	541	167
84	547	161
85	555	154
86	561	148
87	566	141
88	571	134
89	573	127
90	575	120
91	579	113
92	583	106
93	585	99
94	589	93
95	592	86
96	594	79
97	598	73
98	601	66
99	605	60
100	607	54
101	611	47
102	614	41
103	617	35
104	620	29
105	623	23
106	625	17
107	628	11
108	631	5
109	634	0
0

