iter	Passed	Remaining
0	1	1080
1	1	837
2	2	730
3	2	689
4	3	653
5	3	633
6	4	613
7	4	599
8	5	637
9	6	635
10	7	645
11	7	643
12	8	660
13	9	649
14	10	659
15	10	655
16	11	645
17	11	638
18	12	668
19	13	667
20	14	660
21	14	655
22	15	664
23	16	666
24	16	661
25	17	660
26	18	681
27	19	683
28	20	677
29	20	670
30	21	663
31	21	657
32	22	652
33	22	646
34	23	642
35	23	637
36	24	642
37	25	643
38	26	648
39	27	648
40	27	647
41	28	645
42	28	641
43	29	637
44	29	633
45	30	635
46	31	633
47	31	630
48	32	627
49	32	623
50	33	619
51	33	616
52	34	617
53	35	619
54	36	630
55	37	629
56	38	629
57	38	630
58	39	627
59	40	630
60	40	627
61	41	628
62	42	629
63	42	628
64	43	627
65	44	624
66	45	626
67	45	624
68	45	620
69	46	616
70	46	614
71	47	610
72	47	607
73	48	604
74	48	602
75	49	600
76	49	598
77	50	595
78	50	593
79	51	594
80	52	595
81	53	596
82	54	597
83	54	597
84	56	608
85	57	609
86	58	610
87	58	608
88	59	608
89	60	608
90	60	606
91	61	604
92	62	604
93	63	607
94	63	606
95	64	607
96	64	605
97	66	608
98	66	607
99	67	606
100	68	607
101	68	606
102	69	606
103	70	604
104	71	606
105	71	605
106	72	604
107	73	603
108	73	603
109	74	601
110	75	603
111	76	605
112	77	605
113	77	604
114	78	602
115	78	601
116	79	600
117	80	599
118	80	599
119	81	597
120	82	595
121	83	598
122	83	597
123	84	596
124	85	596
125	85	594
126	86	593
127	86	592
128	87	590
129	88	592
130	89	592
131	89	590
132	90	588
133	90	587
134	91	585
135	91	584
136	92	585
137	93	583
138	94	582
139	94	580
140	95	580
141	95	579
142	96	578
143	97	577
144	97	576
145	98	576
146	99	575
147	99	573
148	100	573
149	101	572
150	101	571
151	102	569
152	102	569
153	103	569
154	104	567
155	104	567
156	105	567
157	106	565
158	106	564
159	107	564
160	108	563
161	109	564
162	109	563
163	110	563
164	110	561
165	111	560
166	112	559
167	112	558
168	113	557
169	114	557
170	114	556
171	115	556
172	116	555
173	117	556
174	117	555
175	118	555
176	119	553
177	121	559
178	121	558
179	122	557
180	122	556
181	123	554
182	123	553
183	124	552
184	125	552
185	126	551
186	126	550
187	127	549
188	127	548
189	128	547
190	129	546
191	129	546
192	130	545
193	131	544
194	131	543
195	132	543
196	133	543
197	133	542
198	134	540
199	135	540
200	135	539
201	136	538
202	136	537
203	137	536
204	138	535
205	138	534
206	139	534
207	140	533
208	140	532
209	141	531
210	141	530
211	142	528
212	142	527
213	143	527
214	144	526
215	145	526
216	145	526
217	146	525
218	147	525
219	148	524
220	148	524
221	149	523
222	153	533
223	155	539
224	157	542
225	159	546
226	161	549
227	163	552
228	164	554
229	167	560
230	169	564
231	172	570
232	174	572
233	176	576
234	176	575
235	178	579
236	181	584
237	183	588
238	186	592
239	188	596
240	189	597
241	192	601
242	194	607
243	195	606
244	196	604
245	196	602
246	197	601
247	197	599
248	198	598
249	198	596
250	200	597
251	200	595
252	201	594
253	201	592
254	202	590
255	202	589
256	203	587
257	204	588
258	205	586
259	205	585
260	206	585
261	207	583
262	207	581
263	208	580
264	208	579
265	209	577
266	209	576
267	211	577
268	211	575
269	212	574
270	212	572
271	213	571
272	214	570
273	214	569
274	215	568
275	215	566
276	216	565
277	217	563
278	217	562
279	218	560
280	218	560
281	219	558
282	219	557
283	220	556
284	221	554
285	221	553
286	224	558
287	225	557
288	226	557
289	227	558
290	230	560
291	231	560
292	231	559
293	232	557
294	232	556
295	233	555
296	233	553
297	234	552
298	234	550
299	235	549
300	236	548
301	236	546
302	237	545
303	237	544
304	238	543
305	239	542
306	240	541
307	240	540
308	241	539
309	242	538
310	242	537
311	243	536
312	243	534
313	244	534
314	245	533
315	246	532
316	246	531
317	248	533
318	250	535
319	252	535
320	253	536
321	254	534
322	255	535
323	255	533
324	256	532
325	258	533
326	258	532
327	259	531
328	259	530
329	260	528
330	261	527
331	261	526
